file	name	kind	old	new
skse64/NiMaterial.cpp	CreateFacegenTintMaterial	Addr	0x014BAA70	0x01526C30
skse64/GameObjects.cpp	BSShaderTextureSet_Create	Addr	0x014CF0B0	0x0153B2C0
skse64/GameRTTI.cpp	Runtime_DynamicCast_Internal	Addr	0x0153CF2A	0x015A957A
skse64/GameExtraData.cpp	s_ExtraOwnershipVtbl	Ptr	0x01770830	0x017E9AD8
skse64/GameExtraData.cpp	s_ExtraRankVtbl	Ptr	0x01770870	0x017E9B18
skse64/GameExtraData.cpp	s_ExtraCountVtbl	Ptr	0x01770890	0x017E9B38
skse64/GameExtraData.cpp	s_ExtraCannotWearVtbl	Ptr	0x017708F0	0x017E9B98
skse64/GameExtraData.cpp	s_ExtraHealthVtbl	Ptr	0x01770910	0x017E9BB8
skse64/GameExtraData.cpp	s_ExtraChargeVtbl	Ptr	0x01770970	0x017E9C18
skse64/GameExtraData.cpp	s_ExtraHotkeyVtbl	Ptr	0x017709D0	0x017E9C78
skse64/GameExtraData.cpp	s_ExtraReferenceHandleVtbl	Ptr	0x01770A10	0x017E9CB8
skse64/GameExtraData.cpp	s_ExtraEnchantmentVtbl	Ptr	0x01770D30	0x017E9FD8
skse64/GameExtraData.cpp	s_ExtraAliasInstanceArrayVtbl	Ptr	0x01771250	0x017EA4F8
skse64/GameExtraData.cpp	s_ExtraTextDisplayVtbl	Ptr	0x01771390	0x017EA638
skse64/GameExtraData.cpp	s_ExtraForcedTargetVtbl	Ptr	0x01771410	0x017EA6B8
skse64/GameExtraData.cpp	s_ExtraUniqueIdVtbl	Ptr	0x01771450	0x017EA6F8
skse64/GameExtraData.cpp	s_ExtraSoulVtbl	Ptr	0x017740E0	0x017ED390
skse64/Hooks_Gameplay.cpp	g_gameVersion	Addr	0x01789090	0x01802510
skse64/NiExtraData.cpp	s_BSFaceGenBaseMorphExtraDataVtbl	Addr	0x01846338	0x018C02A0
skse64/Hooks_Handlers.cpp	WeaponRightSwingHandler_Vtable	Addr	0x018B98A8	0x01937E28
